uid,district,truename
608,Staré Mesto,Bubnovka
609,Ružinov,"V. hrdlo, záhrady"
616,Nové Mesto,Vajnorská
617,Petržalka,Dargovská
618,Staré Mesto,Na hrebienku
619,Petržalka,Gercenova
625,Karlova Ves,Pod Kráľovou horou
626,Karlova Ves,Kuklovská
627,Karlova Ves,Sološnická
628,Karlova Ves,Šaštínska
631,Petržalka,Betliarska
632,Rača,Kalné jazero
633,Rača,Spádovisko I
634,Rača,Spádovisko II
635,Devínska Nová Ves,Zamajerské
641,Nové Mesto,Kamzík
646,Čunovo,"Čunovo, záhrady"
647,Nové Mesto,Júlová
656,Karlova Ves,Hájnická
657,Karlova Ves,Vretenová
658,Karlova Ves,Na Sitine
659,Karlova Ves,Bedľová
660,Karlova Ves,Panoráma
661,Karlova Ves,Tôňava
662,Karlova Ves,Rudolfa Mocka
663,Karlova Ves,Konvalinková
664,Karlova Ves,Nad vinicami
665,Rača,Karpatské nám.
670,Devínska Nová Ves,Veľkolúcky potok
671,Čunovo,Schengenská
675,Dúbravka,Cabanova
676,Dúbravka,Moyšova
677,Dúbravka,Tranovského
678,Dúbravka,Konopné diely
679,Dúbravka,Tulipánová
680,Dúbravka,Vendelínska
691,Petržalka,žltá
693,Nové Mesto,Partizánska lúka
694,Devínska Nová Ves,T. P. Kolakoviča
696,Podunajské Biskupice,OC Slovnaftská
699,Dúbravka,OC Dubrawa
700,Lamač,OC Bory
701,Záhorská Bystrica,Rudavská
702,Záhorská Bystrica,Pri kaplnke
705,Ružinov,Pharos
707,Karlova Ves,OC Patrónka
708,Čunovo,MVE Mošoň
709,Rača,Rostovská
710,Devínska Nová Ves,"Opletalova, VW5"
711,Vrakuňa,Arménska
712,Rača,Cudzinecká polícia
713,Rača,Detvianska
714,Staré Mesto,Úrad vlády SR
715,Rača,OC Rača
716,Nové Mesto,ZŠ Odborárska
719,Nové Mesto,Koliba P+R
720,Ružinov,Hrachová
721,Lamač,Kúpalisko Lamač
722,Lamač,Hany Ponickej
723,Lamač,Hrubé lúky
724,Nové Mesto,Muštová
725,Ružinov,Krížové polia
726,Ružinov,"Letisko, cargo"
727,Ružinov,Letové služby
728,Ružinov,Galvaniho
740,Staré Mesto,Nám. slobody
741,Čunovo,"Čunovo, Priehrada"
742,Nové Mesto,Kačínska Dolina
743,Rača,Drozdová
744,Staré Mesto,Svoradová
746,Jarovce,Ovocná
748,Ružinov,Grófska Niva
749,Čunovo,Konopiská
750,Lamač,Vladimíra Jukla
751,Rača,Slanec
